Total,Level,AS,,Good for revision,Remarks,,,,,,,,,,,,,,,,,,
Total,,58,,,,,,,,,,,,,,,,,,,,,
Bit Manipulation,,,,,,,,,,,,,,,,,,,,,,,
Number of 1 Bits,Easy,1,,,,,,,,,,,,,,,,,,,,,
Counting Bits,Easy,1,,,,,,,,,,,,,,,,,,,,,
Reverse Bits,Easy,1,,"Yes, seems like LC medium.",Revise Bitwise Operations,,,,,,,,,,,,,,,,,,
Missing Number,Easy,1,,,,,,,,,,,,,,,,,,,,,
Sum of Two Integers,Medium,1,,Yes,results are different in IDE vs submission - check discussion,,,,,,,,,,,,,,,,,,
Reverse Integer,Medium,1,,,,,,,,,,,,,,,,,,,,,
Add Binary,Easy,1,,,A summary: how to use bit manipulation to solve problems easily and efficiently - LeetCode Discuss,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Math and Geometry,,,,,,,,,,,,,,,,,,,,,,,
Rotate Image,Medium,1,,,,,,,,,,,,,,,,,,,,,
Spiral Matrix,Medium,1,,Yes,,,,,,,,,,,,,,,,,,,
Set Matrix Zeroes,Medium,1,,,,,,,,,,,,,,,,,,,,,
Happy Number,Easy,1,,,,,,,,,,,,,,,,,,,,,
Plus One,Easy,1,,,,,,,,,,,,,,,,,,,,,
Palindrome Number,Easy,1,,,,,,,,,,,,,,,,,,,,,
Ugly Number,Easy,1,,,,,,,,,,,,,,,,,,,,,
Shift 2D Grid,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Roman to Integer,Easy,,,,,,,,,,,,,,,,,,,,,,
Integer to Roman,Medium,,,,Not worth the time,,,,,,,,,,,,,,,,,,
"Pow(x, n)",Medium,1,,,Check this out: https://leetcode.com/problems/powx-n/solutions/337052/solution-in-python-3-six-lines/,,,,,,,,,,,,,,,,,,
Multiply Strings,Medium,1,,,,,,,,,,,,,,,,,,,,,
Detect Squares,Medium,,,,,,,,,,,,,,,,,,,,,,
Robot Bounded In Circle,Medium,1,,,Apurva: reasoning is not clear,,,,,,,,,,,,,,,,,,
Zigzag Conversion,Medium,1,,,Not worth the time,,,,,,,,,,,,,,,,,,
Find Missing Observations,Medium,1,,Yes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Array and Hashing,,,,,,,,,,,,,,,,,,,,,,,
Contains Duplicate,Easy,1,,,,,,,,,,,,,,,,,,,,,
Valid Anagram,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Replace Elements With Greatest Element On Right Side,Easy,1,,,,,,,,,,,,,,,,,,,,,
Is Subsequence,Easy,1,,,,,,,,,,,,,,,,,,,,,
Length of Last Word,Easy,1,,,,,,,,,,,,,,,,,,,,,
Two Sum,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Longest Common Prefix,Easy,1,,,,,,,,,,,,,,,,,,,,,
Group Anagrams,Medium,1,,Yes,,,,,,,,,,,,,,,,,,,
Pascals Triangle,Easy,1,,,,,,,,,,,,,,,,,,,,,
Remove Element,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Unique Email Addresses,Easy,1,,,,,,,,,,,,,,,,,,,,,
Isomorphic Strings,Easy,1,,,,,,,,,,,,,,,,,,,,,
Can Place Flowers,Easy,1,,Maybe,,,,,,,,,,,,,,,,,,,
Majority Element,Easy,1,,,,,,,,,,,,,,,,,,,,,
Next Greater Element I,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Find Pivot Index,Easy,1,,,,,,,,,,,,,,,,,,,,,
Range Sum Query - Immutable,Easy,1,,,,,,,,,,,,,,,,,,,,,
Find All Numbers Disappeared in An Array,Easy,1,,,,,,,,,,,,,,,,,,,,,
Maximum Number of Balloons,Easy,1,,,,,,,,,,,,,,,,,,,,,
Word Pattern,Easy,1,,,,,,,,,,,,,,,,,,,,,
Design HashMap,Easy,1,,Yes,,,,,,,,,,,,,,,,,,,
Top K Frequent Elements,Medium,1,,,,,,,,,,,,,,,,,,,,,
Product of Array Except Self,Medium,1,,,,,,,,,,,,,,,,,,,,,
Valid Sudoku,Medium,1,,,,,,,,,,,,,,,,,,,,,
Encode and Decode Strings,Medium,,,,"The Blind 75 Leetcode Series: Encoding and Decoding Strings | by Jonathan Chao | Mar, 2023 | Medium",,,,,,,,,,,,,,,,,,
